Karanja, Chopan Cluster, Dhamkund, Z. P. Pri.school
Karanja, Chopan Cluster, Feparwada, Z. P. Pri.school
Karanja, Chopan Cluster, Khirwada, Z. P. Pri.school
Karanja, Chopan Cluster, Mhadapur, Z. P. Pri.school
Karanja, Chopan Cluster, Panjara Gondi, Z. P. Pri.school
Karanja, Chopan Cluster, Chopan, Z. P. Up. Pri.kendra.school
Karanja, Chopan Cluster, Brhamanwada, Z. P. Up. Pri.school
Karanja, Chopan Cluster, Garpit, Z. P. Up. Pri.school
Karanja, Chopan Cluster, Danapur, Z. P. Up. Pri.school
Karanja, Kajli Cluster, Sawali Khu, Jagdhamba Vidyala
Karanja, Kajli Cluster, Kajali, Madyamik Vidyala
Karanja, Kajli Cluster, Kajali, Z. P. Kendra Pri.school
Karanja, Kajli Cluster, Agargaon, Z. P. Pri.school
Karanja, Kajli Cluster, Joga, Z. P. Pri.school
Karanja, Kajli Cluster, Nagazari, Z. P. Pri.school
Karanja, Kajli Cluster, Dhanoli, Z. P. Up. Pri.school
Karanja, Kajli Cluster, Rahati, Z. P. Up. Pri.school
Karanja, Kajli Cluster, Sawali Khu, Z. P. Up. Pri.school
Karanja, Kajli Cluster, Methahirji, Z. P. Up. Pri.school
Karanja, Kajli Cluster, (heti Joga), Z.p. Pri. School
Karanja, Kajli Cluster, Umarvihiri, Z.p.pri School
Karanja, Kajli Cluster, Yenidhodka, Z.p.pri.school
Karanja, Karanja Cluster, Karanja, Colours English Medium School
Karanja, Karanja Cluster, Karanja, Gurukul Convent
Karanja, Karanja Cluster, Karanja, Indira Kanya Vidyalaya
Karanja, Karanja Cluster, Karanja, Kasturbha Vidyalaya
Karanja, Karanja Cluster, Karanja, Late Rajiv Gandhi Memo Eng High School &junoir College
Karanja, Karanja Cluster, Karanja, Lt. Rajiv Gandhi Me. Convent
Karanja, Karanja Cluster, Karanja Gh, Maharudra Art Commerce And Science College
Karanja, Karanja Cluster, Karanja, Matoshri Convent
Karanja, Karanja Cluster, Model English Primary School, Karanja
Karanja, Karanja Cluster, Model High School, Karanja
Karanja, Karanja Cluster, Karanja, Sant La Ma Matimand Vidy
Karanja, Karanja Cluster, Chandewani, Skyline Public School
Karanja, Karanja Cluster, Karanja, Son Shine School Karanja
Karanja, Karanja Cluster, Karanja, Z. P. Kendra Pri.school
Karanja, Karanja Cluster, Karanja, Z. P. Pri.kanya School
Karanja, Karanja Cluster, Ambhora, Z. P. Pri.school
Karanja, Karanja Cluster, Chandewani, Z. P. Pri.school
Karanja, Karanja Cluster, Madani, Z. P. Pri.school
Karanja, Karanja Cluster, Waghoda, Z. P. Pri.school
Karanja, Karanja Cluster, Indiranagar Karanja, Z. P. Pri.school
Karanja, Karanja Cluster, Khardipura Karanja, Z. P. Pri.school
Karanja, Karanja Cluster, Ward. No. 5 Karanja, Z. P. Pri.school
Karanja, Karanja Cluster, Karanja, Z. P. Urdu Up. Pri.school
Karanja, Karanja Cluster, Bhihadi, Z. P. Up.pri.school
Karanja, Kundi Cluster, Thanegaon, Navprabhat Vidyamandir
Karanja, Kundi Cluster, Selgaon L, Yeshwant Vidyamandir
Karanja, Kundi Cluster, Khairi, Z. P. Pri.school
Karanja, Kundi Cluster, Kharaskhanda, Z. P. Pri.school
Karanja, Kundi Cluster, Nagalwadi, Z. P. Pri.school
Karanja, Kundi Cluster, Thanegaon, Z. P. Pri.school
Karanja, Kundi Cluster, Jurwada, Z. P. Up. Pri.school
Karanja, Kundi Cluster, Selgaon L, Z. P. Up. Pri.school
Karanja, Kundi Cluster, Kundi, Z. P. Up. Pri.school
Karanja, Kundi Cluster, Bori, Z. P. Up. Pri.school
Karanja, Kundi Cluster, Morshi, Z. P. Up. Pri.school
Karanja, Kundi Cluster, Dharti, Z. P. Up. Pri.school
Karanja, Kundi Cluster, Khiri (d), Z.p.pri. School
Karanja, Masod Cluster, Masod, Sawitribai Fule Vidyala
Karanja, Masod Cluster, Dhaga, Z. P. Pri.school
Karanja, Masod Cluster, Ladgad, Z. P. Pri.school
Karanja, Masod Cluster, Heti Susund, Z. P. Pri.school
Karanja, Masod Cluster, Masod, Z. P. Up. Pri.school
Karanja, Masod Cluster, Susund, Z. P. Up. Pri.school
Karanja, Nara Cluster, Nara, Annasaheb Gundewar Vidyalaya
Karanja, Nara Cluster, Kakada, Chitralekhatai Junior College
Karanja, Nara Cluster, Kakda, Gram Vikas Vidyalaya
Karanja, Nara Cluster, Nara, Lt Yadavrao Keche Asram School Secondary School
Karanja, Nara Cluster, Nara, Lt. Yadavrao Keche Asram School
Karanja, Nara Cluster, Nara, P.n Bhele Junior College
Karanja, Nara Cluster, Susundra, Sant Bhakare M. Vidyalaya
Karanja, Nara Cluster, Nara, Saraswati Scholar Convent
Karanja, Nara Cluster, Ajanadevi, Z. P. Pri.school
Karanja, Nara Cluster, Khapri, Z. P. Pri.school
